																												Abundances of TMT tag in MS3 (Normalized)							
High	P12956	X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2	0	200.919	62	37	170	37	609	69.8	6.64	584.66	37	cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus;transport	chromosome;cytoplasm;cytosol;extracellular;membrane;nucleus;organelle lumen	catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding	"Pf02037, Pf02735, Pf03730, Pf03731"	2547	ENSG00000196419.12	22	Non-homologous end joining	XRCC6	Non-homologous end-joining	2-LTR circle formation; Neutrophil degranulation; IRF3-mediated induction of type I IFN; Nonhomologous End-Joining (NHEJ)	18	0		20892.5	16933	17179.8	17880.5	11031.5	12710.6	1	
High	P18583	Protein SON OS=Homo sapiens OX=9606 GN=SON PE=1 SV=4	0	200.369	25	41	82	14	2426	263.7	5.64	265.28	41	cell organization and biogenesis;metabolic process;regulation of biological process	extracellular;nucleus	DNA binding;protein binding;RNA binding	"Pf00035, Pf01585, Pf03154, Pf05109, Pf07174, Pf12526, Pf14709"	6651	ENSG00000159140.19	21		SON			0	28		6974.9	8037	7471	7476.1	3657.9	3674.1	1	
High	P11387	DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2	0	200.362	52	46	145	45	765	90.7	9.31	401.83	46	cell death;cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	chromosome;cytoplasm;nucleus	catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding	"Pf01028, Pf02919, Pf14370"	7150	ENSG00000198900.5	20		TOP1		SUMOylation of DNA replication proteins	5	1		11394.2	12858.4	12759.9	13614.4	9925.3	15881.1	1	Met-loss+Acetyl [N-Term]
High	Q92922	SWI/SNF complex subunit SMARCC1 OS=Homo sapiens OX=9606 GN=SMARCC1 PE=1 SV=3	0	200.226	42	47	120	35	1105	122.8	5.76	368.64	47	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	chromosome;cytoplasm;nucleus	DNA binding;protein binding	Pf04433	6599	ENSG00000173473.10	3		SMARCC1		RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known; RMTs methylate histone arginines	8	1		9563.4	8637.2	8609.9	8021.4	3604.4	2808.2	1	
High	P23246	"Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2"	0	198.158	49	29	189	28	707	76.1	9.44	516.4	29	cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus	chromosome;cytoplasm;nucleus	DNA binding;protein binding;RNA binding	"Pf00076, Pf08075, Pf13893, Pf14259"	6421	ENSG00000116560.10	1	mRNA Processing	SFPQ		PTK6 Regulates Proteins Involved in RNA Processing	5	1		15965.4	18145.7	17624.5	18536.5	10157.4	8764.3	1	
High	C9J406	MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=1	0	198.124	64	38	113	3	659	73.2	6.07	357.84	38		membrane;mitochondrion		"Pf07227, Pf09731"		ENSG00000132305.20	2					0	0		200.6	73.7	74.1	42.5	67.8	147.2	1	
High	Q86U86	Protein polybromo-1 OS=Homo sapiens OX=9606 GN=PBRM1 PE=1 SV=1	0	197.784	32	47	105	47	1689	192.8	6.89	335.33	47	cell organization and biogenesis;metabolic process;regulation of biological process	chromosome;nucleus	DNA binding;protein binding	"Pf00439, Pf00505, Pf01426"	55193	ENSG00000163939.18	3		PBRM1		RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known; RMTs methylate histone arginines	8	0		7567.1	6633.5	6503.7	7225.3	5271.8	6113	1	
High	Q10570	Cleavage and polyadenylation specificity factor subunit 1 OS=Homo sapiens OX=9606 GN=CPSF1 PE=1 SV=2	0	196.858	45	49	107	49	1443	160.8	6.4	351.13	49	metabolic process;transport	nucleus	protein binding;RNA binding	"Pf03178, Pf10433"	29894	ENSG00000071894.16	8	mRNA Processing	CPSF1	mRNA surveillance pathway	mRNA 3'-end processing; Transport of Mature mRNA Derived from an Intronless Transcript; mRNA Splicing - Major Pathway; tRNA processing in the nucleus; Cleavage of Growing Transcript in the Termination Region ; Processing of Intronless Pre-mRNAs	18	0		5175.8	6016.4	5837	5945.4	3279.3	3221.2	1	
High	Q9Y5B9	FACT complex subunit SPT16 OS=Homo sapiens OX=9606 GN=SUPT16H PE=1 SV=1	0	195.136	45	43	120	43	1047	119.8	5.66	373	43	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	chromosome;nucleus	protein binding;RNA binding	"Pf00557, Pf08512, Pf08644, Pf14826"	11198	ENSG00000092201.9	14		SUPT16H		HIV elongation arrest and recovery; TP53 Regulates Transcription of DNA Repair Genes; Tat-mediated HIV elongation arrest and recovery; Formation of RNA Pol II elongation complex ; Formation of HIV elongation complex in the absence of HIV Tat; Regulation of TP53 Activity through Phosphorylation; RNA Polymerase II Pre-transcription Events; Pausing and recovery of HIV elongation; Pausing and recovery of Tat-mediated HIV elongation; Formation of HIV-1 elongation complex containing HIV-1 Tat	24	0		10103.6	9254.7	9095.3	9593.2	7403.1	6396.4	1	
High	Q14669	E3 ubiquitin-protein ligase TRIP12 OS=Homo sapiens OX=9606 GN=TRIP12 PE=1 SV=1	0	193.697	31	51	97	41	1992	220.3	8.48	300.61	51	metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	catalytic activity;protein binding	"Pf00632, Pf02825"	9320	ENSG00000153827.13	2		TRIP12	Ubiquitin mediated proteolysis	Antigen processing: Ubiquitination & Proteasome degradation	5	10		4658.3	4448.4	4368.6	5255.7	4560.5	5780.2	1	
High	F5GXF5	Nucleosome-remodeling factor subunit BPTF (Fragment) OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=2	0	193.696	25	51	83	2	2457	271.4	6.13	250.76	51			metal ion binding;protein binding	"Pf00628, Pf02791, Pf15612"		ENSG00000171634.16	17	Endoderm Differentiation				1	0		56.3	63.1	66.2	64.7	52.9	52.9	1	
High	Q7KZF4	Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1	0	193.349	48	39	105	39	910	101.9	7.17	343.53	39	cell differentiation;metabolic process;regulation of biological process	cytoplasm;cytosol;membrane;mitochondrion;nucleus	catalytic activity;protein binding;RNA binding	"Pf00565, Pf00567"	27044	ENSG00000197157.10	7		SND1	Epstein-Barr virus infection; Viral carcinogenesis	Signaling by BRAF and RAF fusions	6	0		7669.4	5316.1	5693.7	4634.6	10641.6	7624.4	1	
High	A0A3B3ITJ4	Heterogeneous nuclear ribonucleoprotein L (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=1	0	192.394	70	23	130	1	537	59.2	7.11	444.89	23												0	0		138.8	106	92.6	106.5	149.3	117.3	1	
High	O00567	Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4	0	191.529	62	28	112	28	594	66	9.19	357.74	28	metabolic process	cytoplasm;membrane;nucleus	protein binding;RNA binding	"Pf01798, Pf08060, Pf08156"	10528	ENSG00000101361.16	20		NOP56	Ribosome biogenesis in eukaryotes	Major pathway of rRNA processing in the nucleolus and cytosol; Association of TriC/CCT with target proteins during biosynthesis; rRNA modification in the nucleus and cytosol	10	0		13730	9383.7	9338.3	9290.1	7097.3	6937.8	1	
High	P22626	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2	0	190.346	74	27	292	24	353	37.4	8.95	858.99	27	metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;extracellular;membrane;nucleus;spliceosomal complex	DNA binding;protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	3181	ENSG00000122566.20	7	mRNA Processing	HNRNPA2B1		Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation; Interleukin-12 family signaling; mRNA Splicing - Major Pathway	10	0		17417.6	18393.6	18535.6	18835.7	12626	12044.2	1	
High	O43143	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2	0	189.898	46	34	127	34	795	90.9	7.46	386.86	34	metabolic process;response to stimulus	cytoplasm;nucleus;spliceosomal complex	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf04408, Pf07717, Pf13401"	1665	ENSG00000109606.12	4	mRNA Processing	DHX15	Spliceosome	mRNA Splicing - Major Pathway	6	0		9954.7	10822.3	11029	12247.5	7408.5	6756	1	
High	P07437	Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2	0	188.235	66	23	151	3	444	49.6	4.89	454.63	23	cell division;cell organization and biogenesis;cellular component movement;defense response;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;extracellular;membrane;nucleus;organelle lumen	catalytic activity;nucleotide binding;protein binding;structural molecule activity	"Pf00091, Pf03953, Pf10644"	203068	ENSG00000232575.10; ENSG00000196230.12; ENSG00000227739.10; ENSG00000224156.10; ENSG00000235067.10; ENSG00000229684.10; ENSG00000183311.16; ENSG00000232421.10	6; CHR_HSCHR6_MHC_MANN_CTG1; CHR_HSCHR6_MHC_COX_CTG1; CHR_HSCHR6_MHC_APD_CTG1; CHR_HSCHR6_MHC_DBB_CTG1; CHR_HSCHR6_MHC_MCF_CTG1; CHR_HSCHR6_MHC_QBL_CTG1; CHR_HSCHR6_MHC_SSTO_CTG1	Pathogenic Escherichia coli infection; Parkin-Ubiquitin Proteasomal System pathway	TUBB	Gap junction; Pathogenic Escherichia coli infection; Phagosome	Neutrophil degranulation; Regulation of PLK1 Activity at G2/M Transition; AURKA Activation by TPX2; Anchoring of the basal body to the plasma membrane; Recruitment of NuMA to mitotic centrosomes; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes	24	2		1628.6	2614.6	2950.9	3174.5	4078.8	3518.5	1	
High	Q12788	Transducin beta-like protein 3 OS=Homo sapiens OX=9606 GN=TBL3 PE=1 SV=2	0	188.214	53	30	85	30	808	89	6.9	301.14	30	metabolic process	nucleus	protein binding;RNA binding	"Pf00400, Pf08625"	10607	ENSG00000183751.14	16		TBL3	Ribosome biogenesis in eukaryotes	Major pathway of rRNA processing in the nucleolus and cytosol; rRNA modification in the nucleus and cytosol	6	0		5504.4	5426	5072	4800.1	2175	2097.6	1	
High	P68371	Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1	0	187.947	65	23	134	2	445	49.8	4.89	410.42	23	cell organization and biogenesis;cellular component movement;defense response;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;extracellular;nucleus;organelle lumen	catalytic activity;nucleotide binding;protein binding;RNA binding;structural molecule activity	"Pf00091, Pf03953, Pf10644"	10383	ENSG00000188229.5	9	Pathogenic Escherichia coli infection; Parkin-Ubiquitin Proteasomal System pathway	TUBB4B	Phagosome; Pathogenic Escherichia coli infection; Gap junction	COPI-independent Golgi-to-ER retrograde traffic; COPI-dependent Golgi-to-ER retrograde traffic; Carboxyterminal post-translational modifications of tubulin; Regulation of PLK1 Activity at G2/M Transition; Recruitment of NuMA to mitotic centrosomes; Hedgehog 'off' state; Loss of Nlp from mitotic centrosomes; Translocation of GLUT4 to the plasma membrane; Prefoldin mediated transfer of substrate  to CCT/TriC; Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane; Neutrophil degranulation; Separation of Sister Chromatids; COPI-mediated anterograde transport; The role of GTSE1 in G2/M progression after G2 checkpoint; HSP90 chaperone cycle for steroid hormone receptors (SHR); Kinesins; AURKA Activation by TPX2; Anchoring of the basal body to the plasma membrane; Formation of tubulin folding intermediates by CCT/TriC; RHO GTPases activate IQGAPs; Recruitment of mitotic centrosome proteins and complexes; Recycling pathway of L1; Resolution of Sister Chromatid Cohesion; Intraflagellar transport; Post-chaperonin tubulin folding pathway; RHO GTPases Activate Formins; MHC class II antigen presentation	74	30		3699.5	7616.2	8733.6	9587.1	12872.6	9871.6	1	
High	Q8N1F7	Nuclear pore complex protein Nup93 OS=Homo sapiens OX=9606 GN=NUP93 PE=1 SV=2	0	187.378	54	40	126	40	819	93.4	5.72	367.04	40	cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport	membrane;nucleus	protein binding;structural molecule activity	Pf04097	9688	ENSG00000102900.12	16		NUP93	RNA transport	Rev-mediated nuclear export of HIV RNA; ISG15 antiviral mechanism; NEP/NS2 Interacts with the Cellular Export Machinery; tRNA processing in the nucleus; Transcriptional regulation by small RNAs; Nuclear Pore Complex (NPC) Disassembly; Regulation of Glucokinase by Glucokinase Regulatory Protein; Vpr-mediated nuclear import of PICs; Regulation of HSF1-mediated heat shock response; snRNP Assembly; SUMOylation of DNA replication proteins; Transport of the SLBP independent Mature mRNA; SUMOylation of RNA binding proteins; Viral Messenger RNA Synthesis; SUMOylation of chromatin organization proteins; Nuclear import of Rev protein;  NS1 Mediated Effects on Host Pathways; Transport of Mature mRNA Derived from an Intronless Transcript; Transport of the SLBP Dependant Mature mRNA; Transport of Ribonucleoproteins into the Host Nucleus; Transport of Mature mRNA derived from an Intron-Containing Transcript; SUMOylation of DNA damage response and repair proteins	64	0		10724.1	10059.4	9881.9	10650	6775.6	6419.4	1	
High	Q71U36	Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1	0	186.66	62	24	140	1	451	50.1	5.06	471.82	24	cell division;cell organization and biogenesis;regulation of biological process;transport	cytoplasm;cytoskeleton;cytosol;endosome;membrane;nucleus	catalytic activity;nucleotide binding;protein binding;structural molecule activity	"Pf00091, Pf03953"	7846	ENSG00000167552.13	12	Pathogenic Escherichia coli infection; Parkin-Ubiquitin Proteasomal System pathway	TUBA1A	Gap junction; Phagosome; Pathogenic Escherichia coli infection; Apoptosis	COPI-independent Golgi-to-ER retrograde traffic; COPI-dependent Golgi-to-ER retrograde traffic; Carboxyterminal post-translational modifications of tubulin; Regulation of PLK1 Activity at G2/M Transition; Recruitment of NuMA to mitotic centrosomes; Hedgehog 'off' state; Loss of Nlp from mitotic centrosomes; Translocation of GLUT4 to the plasma membrane; Prefoldin mediated transfer of substrate  to CCT/TriC; Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane; Separation of Sister Chromatids; COPI-mediated anterograde transport; The role of GTSE1 in G2/M progression after G2 checkpoint; HSP90 chaperone cycle for steroid hormone receptors (SHR); Kinesins; AURKA Activation by TPX2; Anchoring of the basal body to the plasma membrane; Formation of tubulin folding intermediates by CCT/TriC; RHO GTPases activate IQGAPs; Recruitment of mitotic centrosome proteins and complexes; Recycling pathway of L1; Resolution of Sister Chromatid Cohesion; Intraflagellar transport; Post-chaperonin tubulin folding pathway; RHO GTPases Activate Formins; MHC class II antigen presentation	73	3		251.5	494.4	604.5	585.6	800.3	611.2	1	
High	A6NLN1	"Polypyrimidine tract binding protein 1, isoform CRA_b OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=4"	0	186.511	57	21	136	2	527	56.5	9.38	500.06	21	metabolic process;regulation of biological process;response to stimulus	membrane;nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	5725	ENSG00000011304.19	19	mir-124 predicted interactions with cell cycle and differentiation; mRNA Processing	PTBP1			2	25		6430.2	7326	7661	8693.1	5791.5	4572	1	
High	C9J2Y9	DNA-directed RNA polymerase subunit beta OS=Homo sapiens OX=9606 GN=POLR2B PE=1 SV=2	0	185.614	40	38	84	37	1167	133	7.15	285.88	38	metabolic process;regulation of biological process;response to stimulus	membrane;nucleus	catalytic activity;DNA binding;metal ion binding;protein binding;RNA binding	"Pf00562, Pf04560, Pf04561, Pf04563, Pf04565, Pf04566, Pf04567"	5431	ENSG00000047315.15	4	Eukaryotic Transcription Initiation	POLR2B			1	1		4646.7	4653.1	4591.3	4491	3766.1	3008	1	
High	A0A0U1RRM4	Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1	0	185.234	53	20	133	1	588	62.4	9.1	491.12	20	metabolic process	nucleus	RNA binding	"Pf00076, Pf13893, Pf14259"		ENSG00000011304.19	19	mir-124 predicted interactions with cell cycle and differentiation				1	0								1	
High	Q9NYF8	Bcl-2-associated transcription factor 1 OS=Homo sapiens OX=9606 GN=BCLAF1 PE=1 SV=2	0	184.885	37	30	123	1	920	106.1	9.98	400.79	30	cell death;metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus	DNA binding;protein binding;RNA binding	Pf15440	9774	ENSG00000029363.16	6	Interactome of polycomb repressive complex 2 (PRC2)	BCLAF1			1	32		12885.7	12232	12891.3	12469.4	6866.2	6894.7	1	
High	P55265	Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4	0	184.602	40	42	120	42	1226	136	8.65	338.82	42	cell differentiation;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;membrane;nucleus;spliceosomal complex	catalytic activity;DNA binding;metal ion binding;protein binding;RNA binding	"Pf00035, Pf02137, Pf02295"	103	ENSG00000160710.15	1		ADAR	Measles; Influenza A; Cytosolic DNA-sensing pathway	C6 deamination of adenosine; Interferon alpha/beta signaling; Formation of editosomes by ADAR proteins	12	0		13150	11468.5	11403.2	11544.8	5555.4	5889	1	
High	Q15459	Splicing factor 3A subunit 1 OS=Homo sapiens OX=9606 GN=SF3A1 PE=1 SV=1	0	184.09	45	32	124	32	793	88.8	5.22	376.61	32	cell organization and biogenesis;metabolic process;regulation of biological process	nucleus;spliceosomal complex	protein binding;RNA binding	"Pf00240, Pf01805, Pf12230, Pf14560"	10291	ENSG00000099995.18	22	mRNA Processing	SF3A1	Spliceosome	mRNA Splicing - Major Pathway	6	0		9690.7	14359	13561.8	14055.4	7907.3	8485.7	1	
High	A0A0J9YVP6	Poly(U)-binding-splicing factor PUF60 (Fragment) OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1	0	184.072	67	28	126	1	534	57.4	5.35	409.57	28			RNA binding	"Pf00076, Pf13893, Pf14259"		ENSG00000274081.4	CHR_HSCHR8_3_CTG7					0	33		6041.1	9881.9	9911.9	9972.9	6082	5114.9	1	
High	O94906	Pre-mRNA-processing factor 6 OS=Homo sapiens OX=9606 GN=PRPF6 PE=1 SV=1	0	183.575	52	44	127	44	941	106.9	8.25	375.37	44	cell organization and biogenesis;metabolic process;regulation of biological process	membrane;nucleus;spliceosomal complex	protein binding;RNA binding	"Pf06424, Pf13414, Pf14559"	24148	ENSG00000101161.7	20	mRNA Processing	PRPF6	Spliceosome	mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway	7	0		10523.4	10006.7	10257.2	10999.5	7993.6	8106.5	1	
High	J3KTA4	Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1	0	183.311	60	36	196	28	614	69	8.85	582.5	36	cell differentiation;cell growth;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;membrane;nucleus;spliceosomal complex	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf08061"	1655	ENSG00000108654.13	17		DDX5			0	11		17458.4	19684.5	21521.6	24887.5	14933.1	8225	1	
High	O60216	Double-strand-break repair protein rad21 homolog OS=Homo sapiens OX=9606 GN=RAD21 PE=1 SV=2	0	182.916	55	34	86	34	631	71.6	4.65	312.49	34	cell death;cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	chromosome;cytosol;membrane;nucleus	protein binding	"Pf04824, Pf04825"	5885	ENSG00000164754.14	8		RAD21	Cell cycle	Meiotic synapsis; Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; Cohesin Loading onto Chromatin; Establishment of Sister Chromatid Cohesion; SUMOylation of DNA damage response and repair proteins	21	0		5575.3	5676.4	5672.6	5933.8	3865.9	4864.3	1	
High	P38919	Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4	0	181.948	64	24	120	22	411	46.8	6.73	399.37	24	metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;membrane;nucleus;spliceosomal complex	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271"	9775	ENSG00000141543.9	17		EIF4A3	Spliceosome; RNA transport; mRNA surveillance pathway	ISG15 antiviral mechanism; mRNA 3'-end processing; mRNA Splicing - Major Pathway; Cleavage of Growing Transcript in the Termination Region ; Regulation of expression of SLITs and ROBOs; Transport of Mature mRNA derived from an Intron-Containing Transcript; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); Deadenylation of mRNA	27	2		9368.6	10053.8	10129.1	10237.6	7658.5	6958	1	
High	O43390	Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1	0	181.601	56	33	166	23	633	70.9	8.13	487.28	33	metabolic process;regulation of biological process	cytoplasm;endoplasmic reticulum;nucleus;spliceosomal complex	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	10236	ENSG00000282958.1; ENSG00000125944.18	1; CHR_HSCHR1_4_CTG3	mRNA Processing	HNRNPR		mRNA Splicing - Major Pathway	5	11		17330.3	16517.3	16419.4	16966.4	10197.5	11312.7	1	
High	A0A590UJS4	Nipped-B protein OS=Homo sapiens OX=9606 GN=NIPBL PE=1 SV=1	0	181.552	22	47	84	47	2649	298.7	7.99	253.96	47												0	0		4209.5	3998.5	3948.7	4335.4	2896.4	3080	1	
High	P68104	Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1	0	181.439	76	25	196	25	462	50.1	9.01	572.18	25	metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus;organelle lumen	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00009, Pf03143, Pf03144"	1915	ENSG00000156508.17	6	Translation Factors	EEF1A1	Legionellosis; RNA transport	Peptide chain elongation; Protein methylation; Neutrophil degranulation; HSF1 activation	16	0		18008	22365.2	21755.6	23514.2	22812.4	27469.7	1	
High	P52701	DNA mismatch repair protein Msh6 OS=Homo sapiens OX=9606 GN=MSH6 PE=1 SV=2	0	181.396	37	41	102	41	1360	152.7	6.9	318.02	41	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	chromosome;cytosol;Golgi;nucleus	catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding	"Pf00488, Pf00855, Pf01624, Pf05188, Pf05190, Pf05192"	2956	ENSG00000116062.14	2	Signaling Pathways in Glioblastoma; Retinoblastoma (RB) in Cancer; Mismatch repair	MSH6	Platinum drug resistance; Pathways in cancer; Mismatch repair; Colorectal cancer	Defective Mismatch Repair Associated With MSH2; Defective Mismatch Repair Associated With MSH6; Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	14	0		6728.3	7657.4	7679.6	7731.7	5163.1	3160.8	1	
High	Q99459	Cell division cycle 5-like protein OS=Homo sapiens OX=9606 GN=CDC5L PE=1 SV=2	0	181.226	48	32	99	32	802	92.2	8.18	336.73	32	cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;membrane;nucleus;spliceosomal complex	DNA binding;protein binding;RNA binding	"Pf00249, Pf11831, Pf13921"	988	ENSG00000096401.7	6		CDC5L	Spliceosome	mRNA Splicing - Major Pathway	5	0		8520.4	9931.7	9709.2	9489.2	5752.2	5961.2	1	
High	P38646	"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2"	0	181.137	54	36	107	35	679	73.6	6.16	328.35	36	cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;mitochondrion;nucleus;organelle lumen	nucleotide binding;protein binding;RNA binding	"Pf00012, Pf06723"	3313	ENSG00000113013.12	5	Parkin-Ubiquitin Proteasomal System pathway	HSPA9	RNA degradation; Tuberculosis	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation; Mitochondrial protein import; Regulation of HSF1-mediated heat shock response; Interleukin-12 family signaling; Cristae formation; Metabolism of proteins	17	0		2789.8	7166.6	7102.1	5427.6	8831	5814.2	1	
High	P34932	Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4	0	180.671	63	41	86	39	840	94.3	5.19	280.57	41	cell organization and biogenesis;response to stimulus;transport	cytoplasm;cytosol	nucleotide binding;protein binding	"Pf00012, Pf06723"	3308	ENSG00000170606.14	5	Parkin-Ubiquitin Proteasomal System pathway	HSPA4	Antigen processing and presentation	Regulation of HSF1-mediated heat shock response	6	2		1384.7	5265.2	5499	4762.8	6580.5	3730.4	1	
High	O95347	Structural maintenance of chromosomes protein 2 OS=Homo sapiens OX=9606 GN=SMC2 PE=1 SV=2	0	180.393	44	50	111	50	1197	135.6	8.43	333.81	50	cell division;cell organization and biogenesis;metabolic process;regulation of biological process	chromosome;cytoplasm;cytosol;nucleus	catalytic activity;motor activity;nucleotide binding;protein binding	"Pf01576, Pf02463, Pf04111, Pf05262, Pf05622, Pf06470, Pf08317, Pf09726, Pf09731, Pf10174, Pf10186, Pf12128, Pf12718, Pf13166, Pf13175, Pf13304, Pf13476, Pf13555, Pf13863, Pf14362, Pf15619"	10592	ENSG00000136824.18	9	Retinoblastoma (RB) in Cancer	SMC2		Condensation of Prometaphase Chromosomes; Condensation of Prophase Chromosomes	8	0		7235.2	9538.1	8210	9499.2	7579.5	11026.4	1	
High	P46100	Transcriptional regulator ATRX OS=Homo sapiens OX=9606 GN=ATRX PE=1 SV=5	0	180.018	22	47	70	19	2492	282.4	6.58	209.82	47	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	chromosome;nucleus	catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding	"Pf00176, Pf00271"	546		X	Pathways Affected in Adenoid Cystic Carcinoma	ATRX			1	29		3924.5	3501	3465.5	3473.2	3296.1	2256.3	1	
High	P14618	Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	0	179.825	58	26	87	25	531	57.9	7.84	310.8	26	cell death;cell organization and biogenesis;metabolic process;response to stimulus;transport	cytoplasm;cytosol;extracellular;mitochondrion;nucleus;organelle lumen	catalytic activity;metal ion binding;nucleotide binding;protein binding;RNA binding	"Pf00224, Pf02887"	5315	ENSG00000067225.17	15	Photodynamic therapy-induced HIF-1 survival signaling; Amino Acid metabolism; Glycolysis and Gluconeogenesis	PKM	Biosynthesis of amino acids; Type II diabetes mellitus; Carbon metabolism; Glycolysis / Gluconeogenesis; Pyruvate metabolism; Central carbon metabolism in cancer; Metabolic pathways; Glucagon signaling pathway; Purine metabolism; Viral carcinogenesis	Glycolysis; Neutrophil degranulation	20	1		2625.7	3714.3	4400.3	5220.3	12657.4	3896	1	
High	sp	TRFE_HUMAN	0	179.606	63	36	108	36	698	77	7.12	323.76	36												0	0		2332.5	9079.9	10832.3	7094.4	8561.1	9707.9	1	
High	B4DY08	Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=1	0	179.092	62	25	188	3	288	32	8.72	605.05	25	cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process	cytoskeleton;cytosol;extracellular;membrane;nucleus;spliceosomal complex	DNA binding;protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	3183	ENSG00000092199.17	14	mRNA Processing	HNRNPC			1	0		476.5	510.9	480.2	433.9	273.4	314.2	1	
