Protein FDR Confidence: Combined	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Chromosome	WikiPathways	Gene Symbol	KEGG Pathways	Reactome Pathways	# Protein Pathway Groups	# Razor Peptides		"126, Day 2"	"127N, Day 7.5"	"128N, Day 8"	"129C, Day 10"	"130N, Day 12"	"131, Day 14"	# Protein Groups	Modifications
High	P31943	Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4	0	147.696	58	16	179	10	449	49.2	6.3	626.75	16	metabolic process;regulation of biological process;response to stimulus	cytosol;membrane;nucleus;spliceosomal complex	protein binding;RNA binding	"Pf00076, Pf08080, Pf14259"	3187	ENSG00000169045.17; ENSG00000284254.1	5; CHR_HG30_PATCH	Mecp2 and Associated Rett Syndrome; mRNA Processing	HNRNPH1		mRNA Splicing - Major Pathway; FGFR2 alternative splicing	11	5	NA	6846.1	8342.5	8838.9	9254.7	5892.4	5092.2	1	Met-loss [N-Term]
High	O75152	Zinc finger CCCH domain-containing protein 11A OS=Homo sapiens OX=9606 GN=ZC3H11A PE=1 SV=3	0	146.996	45	29	69	29	810	89.1	8.37	244.89	29	metabolic process;transport		metal ion binding;protein binding;RNA binding		9877	ENSG00000058673.16; ENSG00000257315.2	1		ZC3H11A		Cleavage of Growing Transcript in the Termination Region ; Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA 3'-end processing	9	0	NA	4260.9	4323.9	4255.6	4386.2	2067.9	2168.5	1	
High	P49588	"Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2"	0	140.302	42	31	61	31	968	106.7	5.53	201.22	31	metabolic process;regulation of biological process	cytoplasm;cytosol;membrane;mitochondrion	catalytic activity;metal ion binding;nucleotide binding;RNA binding	"Pf01411, Pf02272, Pf07973"	16	ENSG00000090861.15	16		AARS	Aminoacyl-tRNA biosynthesis	Cytosolic tRNA aminoacylation	5	0	NA	777.9	2339.2	2741.3	3109.3	3287.7	2390.2	1	
High	B7Z645	Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=1	0	139.595	55	23	107	1	464	52	9.16	348.7	23	cell differentiation;metabolic process;regulation of biological process;response to stimulus	endoplasmic reticulum;membrane;nucleus;spliceosomal complex	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	10492	ENSG00000135316.17	6		SYNCRIP			0	0	NA	277.4	141.6	150.5	125.2	193.5	287.2	1	
High	Q15233	Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4	0	139.415	59	23	136	21	471	54.2	8.95	375.47	23	defense response;metabolic process;regulation of biological process;response to stimulus	membrane;nucleus	DNA binding;protein binding;RNA binding	"Pf00076, Pf08075, Pf13893, Pf14259"	4841	ENSG00000147140.15	X	mRNA Processing	NONO			1	1	NA	10554.2	10022.1	10238.1	10514.5	6343.8	5225.4	1	
High	Q9H0D6	5'-3' exoribonuclease 2 OS=Homo sapiens OX=9606 GN=XRN2 PE=1 SV=1	0	138.021	37	31	89	31	950	108.5	7.47	269.95	31	cell differentiation;metabolic process;regulation of biological process	membrane;nucleus	catalytic activity;DNA binding;metal ion binding;protein binding;RNA binding	Pf03159	22803	ENSG00000088930.7	20	mRNA Processing	XRN2	Ribosome biogenesis in eukaryotes; RNA degradation	Major pathway of rRNA processing in the nucleolus and cytosol; Association of TriC/CCT with target proteins during biosynthesis	11	0	NA	5623.4	6388.1	6333.3	5971.6	4004.3	3033.9	1	Met-loss [N-Term]
High	P46063	ATP-dependent DNA helicase Q1 OS=Homo sapiens OX=9606 GN=RECQL PE=1 SV=3	0	136.164	49	25	73	25	649	73.4	7.88	243.87	25	metabolic process;response to stimulus	chromosome;cytoplasm;membrane;nucleus	catalytic activity;DNA binding;nucleotide binding;protein binding	"Pf00270, Pf00271, Pf04851, Pf09382"	5965	ENSG00000004700.15	12		RECQL			0	0	NA	3596.6	5009.2	5405.5	6012.2	4607.8	4087.9	1	
High	Q9BUJ2	Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2	0	134.613	36	25	75	25	856	95.7	6.92	250.6	25	metabolic process;regulation of biological process;response to stimulus	nucleus	protein binding;RNA binding	"Pf00622, Pf02037, Pf13671"	11100	ENSG00000105323.16	19		HNRNPUL1	Influenza A	mRNA Splicing - Major Pathway	5	0	NA	5084.5	5506.4	5949.1	5838.9	4429	4168.3	1	
High	O14980	Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1	0	131.993	33	29	76	29	1071	123.3	6.06	240.83	29	cell organization and biogenesis;regulation of biological process;response to stimulus;transport	chromosome;cytoplasm;cytosol;membrane;nucleus	protein binding;RNA binding;transporter activity	"Pf03810, Pf08389, Pf08767"	7514	ENSG00000082898.16	2	eIF5A regulation in response to inhibition of the nuclear export system	XPO1	RNA transport; Ribosome biogenesis in eukaryotes; Influenza A; HTLV-I infection; Epstein-Barr virus infection	Rev-mediated nuclear export of HIV RNA; Downregulation of TGF-beta receptor signaling; NEP/NS2 Interacts with the Cellular Export Machinery; Cyclin A/B1/B2 associated events during G2/M transition; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Deactivation of the beta-catenin transactivating complex; Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; HuR (ELAVL1) binds and stabilizes mRNA; RHO GTPases Activate Formins; MAPK6/MAPK4 signaling	49	0	NA	2064.6	5065	5521.6	5623.9	4684.6	2281.5	1	
High	Q5T6W2	Heterogeneous nuclear ribonucleoprotein K (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1	0	130.691	60	23	172	1	379	41.8	5.59	488.96	23	metabolic process;regulation of biological process;response to stimulus	cytoplasm;membrane;nucleus;spliceosomal complex	DNA binding;protein binding;RNA binding	"Pf00013, Pf08067, Pf13014, Pf13083"	3190	ENSG00000165119.20	9	mRNA Processing	HNRNPK			1	0	NA	14	20.9	19.4	20.6	16.3	27.7	1	
High	Q14152	Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1	0	130.156	31	36	73	36	1382	166.5	6.79	205.8	36	cell organization and biogenesis;metabolic process;regulation of biological process	cytoplasm;cytosol;membrane;nucleus	protein binding;RNA binding;structural molecule activity	Pf01399	8661	ENSG00000107581.12	10	Translation Factors	EIF3A	RNA transport	"Formation of the ternary complex, and subsequently, the 43S complex; L13a-mediated translational silencing of Ceruloplasmin expression; Translation initiation complex formation; GTP hydrolysis and joining of the 60S ribosomal subunit; Formation of a pool of free 40S subunits; Ribosomal scanning and start codon recognition"	13	0	NA	3663.6	2114.5	2209.3	2270.5	5109.6	4016.8	1	
High	Q92945	Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4	0	129.183	45	27	80	23	711	73.1	7.3	251.54	27	metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;membrane;nucleus	DNA binding;protein binding;RNA binding	"Pf00013, Pf07650, Pf09005, Pf13014"	8570	ENSG00000088247.17	19	Preimplantation Embryo	KHSRP		ATF4 activates genes; KSRP (KHSRP) binds and destabilizes mRNA	8	4	NA	4713.1	8237.5	7087.1	6577.4	4582.7	4826.5	1	
High	P26368	Splicing factor U2AF 65 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF2 PE=1 SV=4	0	128.291	54	15	101	15	475	53.5	9.09	388.76	15	metabolic process;regulation of biological process;transport	nucleus;spliceosomal complex	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	11338	ENSG00000063244.12	19	mRNA Processing	U2AF2	Spliceosome	Cleavage of Growing Transcript in the Termination Region ; Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA 3'-end processing; mRNA Splicing - Major Pathway	13	0	NA	4179.3	7382.1	7671.1	7637.3	4487.2	4101.6	1	
High	Q12874	Splicing factor 3A subunit 3 OS=Homo sapiens OX=9606 GN=SF3A3 PE=1 SV=1	0	127.813	54	22	78	22	501	58.8	5.38	287.34	22	cell organization and biogenesis;metabolic process	nucleus;spliceosomal complex	metal ion binding;protein binding;RNA binding	"Pf11931, Pf12108, Pf13297"	10946	ENSG00000183431.11	1	Exercise-induced Circadian Regulation; mRNA Processing	SF3A3	Spliceosome	mRNA Splicing - Major Pathway	7	0	NA	4914.3	6440.6	6486	6563.8	4084.7	3910.7	1	
High	P49756	RNA-binding protein 25 OS=Homo sapiens OX=9606 GN=RBM25 PE=1 SV=3	0	126.825	32	31	91	31	843	100.1	6.32	272.64	31	metabolic process;regulation of biological process	cytoplasm;nucleus;spliceosomal complex	protein binding;RNA binding	"Pf00076, Pf01480, Pf14259"	58517	ENSG00000119707.13	14		RBM25	Spliceosome		1	0	NA	7631.9	9442.6	9452.5	9307.9	5436.3	5706.5	1	
High	P05455	Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2	0	126.605	54	25	72	25	408	46.8	7.12	207.47	25	metabolic process;transport	cytoplasm;nucleus	protein binding;RNA binding	"Pf00076, Pf05383, Pf08777, Pf14259"	6741	ENSG00000138385.15	2		SSB	Systemic lupus erythematosus	RNA Polymerase III Abortive And Retractive Initiation; RNA Polymerase III Transcription Termination	5	0	NA	4088.3	8255.4	7822	5702.9	4782.4	2795.4	1	
High	Q04637	Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=4	0	124.904	30	39	76	35	1599	175.4	5.33	206.77	39	cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;membrane;nucleus	nucleotide binding;protein binding;RNA binding;structural molecule activity	"Pf00566, Pf02020, Pf02847, Pf02854"	1981	ENSG00000114867.20	3	Translation Factors	EIF4G1	RNA transport; Viral myocarditis	ISG15 antiviral mechanism; mTORC1-mediated signalling; L13a-mediated translational silencing of Ceruloplasmin expression; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Deadenylation of mRNA; Ribosomal scanning and start codon recognition; AUF1 (hnRNP D0) binds and destabilizes mRNA; Regulation of expression of SLITs and ROBOs; Translation initiation complex formation	32	4	NA	5238.3	3236	3151.3	3052	5278.3	5075.8	1	
High	Q9UNX4	WD repeat-containing protein 3 OS=Homo sapiens OX=9606 GN=WDR3 PE=1 SV=1	0	121.574	38	27	54	27	943	106	6.64	180.24	27	metabolic process	membrane;nucleus	protein binding;RNA binding	"Pf00400, Pf04003"	10885	ENSG00000065183.15	1		WDR3	Ribosome biogenesis in eukaryotes	Major pathway of rRNA processing in the nucleolus and cytosol; rRNA modification in the nucleus and cytosol	6	0	NA	4634.5	4153.3	3926.3	4098.8	1905.6	1541.2	1	
High	P52597	Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=HNRNPF PE=1 SV=3	0	121.079	66	17	114	15	415	45.6	5.58	399.96	17	metabolic process;regulation of biological process;response to stimulus	cytosol;membrane;nucleus;spliceosomal complex	protein binding;RNA binding	"Pf00076, Pf08080, Pf14259"	3185	ENSG00000169813.16	10	Mecp2 and Associated Rett Syndrome	HNRNPF		Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation; mRNA Splicing - Major Pathway; FGFR2 alternative splicing; Interleukin-12 family signaling	15	2	NA	4874.4	8824.7	9182.5	9415.6	5952.4	4577.1	1	Met-loss [N-Term]
High	Q15365	Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2	0	120.635	74	17	107	12	356	37.5	7.09	338.55	17	metabolic process;regulation of biological process	cytoplasm;cytosol;membrane;nucleus	DNA binding;protein binding;RNA binding	"Pf00013, Pf13014"	5093	ENSG00000169564.6	2		PCBP1	Spliceosome	mRNA Splicing - Major Pathway	5	7	NA	5187.7	10641.4	10683.4	12080.5	10189.5	7821.8	1	
High	Q9NWH9	SAFB-like transcription modulator OS=Homo sapiens OX=9606 GN=SLTM PE=1 SV=2	0	119.894	31	26	54	23	1034	117.1	7.87	173.52	26	cell death;metabolic process;regulation of biological process	nucleus	DNA binding;RNA binding	"Pf00076, Pf02037, Pf13893, Pf14259"	79811	ENSG00000137776.16	15		SLTM			0	3	NA	4682.3	3994.8	3870.6	4256.3	2393.1	3207.1	1	
High	P50579	Methionine aminopeptidase 2 OS=Homo sapiens OX=9606 GN=METAP2 PE=1 SV=1	0	119.865	39	17	53	3	478	52.9	5.82	188.72	17	metabolic process;regulation of biological process	cytoplasm;cytosol;membrane	catalytic activity;metal ion binding;RNA binding	Pf00557	10988	ENSG00000111142.13	12		METAP2		"Signaling by GPCR; Inactivation, recovery and regulation of the phototransduction cascade"	5	15	NA	1235.2	1483.8	2089.4	2780.2	2650	3717	1	
High	Q9UQ80	Proliferation-associated protein 2G4 OS=Homo sapiens OX=9606 GN=PA2G4 PE=1 SV=3	0	117.991	67	20	82	20	394	43.8	6.55	266.89	20	cell proliferation;metabolic process;regulation of biological process;transport	cytoplasm;extracellular;membrane;nucleus;organelle lumen	DNA binding;protein binding;RNA binding	Pf00557	5036	ENSG00000170515.13	12		PA2G4		Neutrophil degranulation	3	0	NA	8014	6714.7	6434.5	5607.7	9351.8	8058.9	1	
High	Q14527	Helicase-like transcription factor OS=Homo sapiens OX=9606 GN=HLTF PE=1 SV=2	0	117.062	35	30	65	30	1009	113.9	8.6	189.24	30	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;membrane;nucleus	catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding;RNA binding	"Pf00097, Pf00176, Pf00271, Pf08797, Pf12678, Pf12861, Pf13445, Pf13639, Pf13920, Pf13923, Pf14634, Pf15227"	6596	ENSG00000071794.15	3	Retinoblastoma (RB) in Cancer	HLTF		E3 ubiquitin ligases ubiquitinate target proteins	5	0	NA	2071.9	4685.8	4296.6	5013.2	3657.2	2554.8	1	
High	P11940	Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2	0	117.036	45	23	69	17	636	70.6	9.5	220.61	23	metabolic process;regulation of biological process	cytoplasm;cytosol;membrane;nucleus;spliceosomal complex	protein binding;RNA binding;translation regulator activity	"Pf00076, Pf00658, Pf13893, Pf14259"	26986	ENSG00000070756.15	8	Translation Factors; Endoderm Differentiation	PABPC1	mRNA surveillance pathway; RNA degradation; RNA transport	AUF1 (hnRNP D0) binds and destabilizes mRNA; L13a-mediated translational silencing of Ceruloplasmin expression; Regulation of expression of SLITs and ROBOs; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Translation initiation complex formation; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); Deadenylation of mRNA	24	7	NA	5424.6	3010.8	3071.1	2836.5	7602	5826.6	1	
High	Q96GQ7	Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens OX=9606 GN=DDX27 PE=1 SV=2	0	116.598	37	28	65	28	796	89.8	9.28	194.64	28	metabolic process	chromosome;cytoplasm;nucleus	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf06862"	55661	ENSG00000124228.14	20		DDX27			0	0	NA	7710.8	6468	6551.4	6839.4	4519.3	3491.6	1	
High	P55795	Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens OX=9606 GN=HNRNPH2 PE=1 SV=1	0	112.454	42	12	97	7	449	49.2	6.3	329.74	12	metabolic process	cytosol;membrane;nucleus	protein binding;RNA binding	"Pf00076, Pf08080, Pf14259"	3188	ENSG00000126945.8	X	mRNA Processing	HNRNPH2		mRNA Splicing - Major Pathway	5	0	NA	1542.4	1907.9	1984.4	1989.5	1944.7	1318	1	
High	O00571	ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3	0	111.71	44	25	67	8	662	73.2	7.18	202.3	25	cell death;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;extracellular;membrane;mitochondrion;nucleus;organelle lumen	catalytic activity;DNA binding;enzyme regulator activity;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf04851"	1654	ENSG00000215301.9	X	RIG-I-like Receptor Signaling	DDX3X	Viral carcinogenesis; RIG-I-like receptor signaling pathway; Hepatitis B	Neutrophil degranulation	7	16	NA	4478	2703.3	2966.3	3350.6	4325.7	4130.6	1	
High	O43172	U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens OX=9606 GN=PRPF4 PE=1 SV=2	0	111.532	51	22	49	22	522	58.4	7.42	154.24	22	metabolic process	nucleus;spliceosomal complex	protein binding;RNA binding	"Pf00400, Pf08799"	9128	ENSG00000136875.12	9	mRNA Processing	PRPF4	Spliceosome	mRNA Splicing - Major Pathway	6	0	NA	3440.1	4300.7	4415.9	4431.4	3046.3	3018.5	1	
High	Q14103	Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1	0	110.713	41	18	114	4	355	38.4	7.81	337.78	18	metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	DNA binding;protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	3184	ENSG00000138668.18	4	mRNA Processing	HNRNPD		mRNA Splicing - Major Pathway	5	15	NA	7600.6	9826	10021	10197.6	6345.5	5576.1	1	
High	P20042	Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens OX=9606 GN=EIF2S2 PE=1 SV=2	0	110.363	63	23	53	23	333	38.4	5.8	163.75	23	cell proliferation;metabolic process;transport	cytoplasm;cytosol;nucleus	metal ion binding;protein binding;RNA binding	"Pf01873, Pf04147"	8894	ENSG00000125977.6	20	Translation Factors; Brain-Derived Neurotrophic Factor (BDNF) signaling pathway	EIF2S2	RNA transport	"Formation of the ternary complex, and subsequently, the 43S complex; L13a-mediated translational silencing of Ceruloplasmin expression; ABC-family proteins mediated transport; Translation initiation complex formation; GTP hydrolysis and joining of the 60S ribosomal subunit; Recycling of eIF2:GDP; Ribosomal scanning and start codon recognition"	16	0	NA	4216.8	2103.5	2559.7	3361	4346.3	5716.8	1	
High	Q92900	Regulator of nonsense transcripts 1 OS=Homo sapiens OX=9606 GN=UPF1 PE=1 SV=2	0	109.766	28	25	45	25	1129	124.3	6.61	148.23	25	cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport	chromosome;cytoplasm;cytosol;nucleus;spliceosomal complex	catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding;RNA binding	"Pf04851, Pf09416, Pf13086, Pf13087, Pf13245, Pf13604"	5976	ENSG00000005007.12	19		UPF1	mRNA surveillance pathway; RNA transport	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	6	0	NA	1843.8	1396.1	1418.6	1394.9	2064	2045.4	1	
High	P09429	High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3	0	109.32	54	14	78	11	215	24.9	5.74	216.51	14	cell differentiation;cell organization and biogenesis;cell proliferation;cellular component movement;cellular homeostasis;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;chromosome;cytoplasm;endosome;extracellular;membrane;nucleus;organelle lumen	catalytic activity;DNA binding;enzyme regulator activity;protein binding;RNA binding	"Pf00505, Pf09011"	3146	ENSG00000189403.14	13	Retinoblastoma (RB) in Cancer; DNA Damage Response (only ATM dependent)	HMGB1	Base excision repair	TRAF6 mediated NF-kB activation; Advanced glycosylation endproduct receptor signaling; TAK1 activates NFkB by phosphorylation and activation of IKKs complex; RIP-mediated NFkB activation via ZBP1; Activated TLR4 signalling; Interleukin-1 family signaling; Neutrophil degranulation; Regulation of TLR by endogenous ligand; DEx/H-box helicases activate type I IFN and inflammatory cytokines production ; Activation of DNA fragmentation factor	40	2	NA	4363.2	4693.8	5287.8	4448.5	3553.3	5865.1	1	
High	F8VQZ7	Methionine aminopeptidase 2 OS=Homo sapiens OX=9606 GN=METAP2 PE=1 SV=1	0	107.671	39	16	47	2	477	52.8	5.82	166.99	16	metabolic process;regulation of biological process	cytoplasm;cytosol;membrane	catalytic activity;metal ion binding;RNA binding	Pf00557	10988	ENSG00000111142.13	12		METAP2			0	0	NA	NA	NA	NA	NA	NA	NA	1	
High	P05388	60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1	0	106.273	56	15	65	15	317	34.3	5.97	199.08	15	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;endoplasmic reticulum;membrane;nucleus;ribosome	protein binding;RNA binding;structural molecule activity	"Pf00428, Pf00466"	6175	ENSG00000089157.15	12	Cytoplasmic Ribosomal Proteins	RPLP0	Ribosome	Peptide chain elongation; Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation; Eukaryotic Translation Termination; Viral mRNA Translation; L13a-mediated translational silencing of Ceruloplasmin expression; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Selenocysteine synthesis; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane; Interleukin-12 family signaling	39	0	NA	8818.1	4476.3	4257.5	3481.8	8000	8151.9	1	
High	Q9UHB9	Signal recognition particle subunit SRP68 OS=Homo sapiens OX=9606 GN=SRP68 PE=1 SV=2	0	106.256	45	25	41	25	627	70.7	8.56	118.53	25	cell organization and biogenesis;response to stimulus;transport	cytoplasm;cytosol;endoplasmic reticulum;nucleus;ribosome	protein binding;RNA binding		6730	ENSG00000167881.14	17		SRP68	Protein export	SRP-dependent cotranslational protein targeting to membrane	4	0	NA	1894.1	1686.1	1881.6	1717.8	2575.3	2313.8	1	
High	P08621	U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens OX=9606 GN=SNRNP70 PE=1 SV=2	0	105.204	44	18	77	18	437	51.5	9.94	236.2	18	metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus;spliceosomal complex	protein binding;RNA binding	"Pf00076, Pf12220, Pf13893, Pf14259"	6625	ENSG00000104852.14	19	mRNA Processing	SNRNP70	Spliceosome	mRNA Splicing - Major Pathway	6	0	NA	9823.1	11155.7	11106.1	10968.9	6759.1	7672.5	1	
High	Q96AE4	Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3	0	104.344	46	27	71	14	644	67.5	7.61	212.04	27	metabolic process;regulation of biological process	nucleus	DNA binding;protein binding;RNA binding	"Pf00013, Pf07650, Pf13014"	8880	ENSG00000162613.16	1		FUBP1			0	10	NA	1838.9	4455.1	4171.8	3934.3	2250.4	2921.7	1	
High	Q16630	Cleavage and polyadenylation specificity factor subunit 6 OS=Homo sapiens OX=9606 GN=CPSF6 PE=1 SV=2	0	104.291	28	16	65	16	551	59.2	7.15	201.71	16	cell organization and biogenesis;metabolic process	membrane;nucleus	protein binding;RNA binding	"Pf00076, Pf14259"	11052	ENSG00000111605.16	12		CPSF6	mRNA surveillance pathway	Signaling by cytosolic FGFR1 fusion mutants	7	0	NA	2423.8	5418.4	5411	4681.6	3320.4	2857.1	1	
High	Q03701	CCAAT/enhancer-binding protein zeta OS=Homo sapiens OX=9606 GN=CEBPZ PE=1 SV=3	0	104.223	28	26	54	26	1054	120.9	5.94	169.82	26	metabolic process;regulation of biological process	nucleus	DNA binding;RNA binding	Pf03914	10153	ENSG00000115816.14	2	Gastric cancer network 2	CEBPZ			1	0	NA	3292.4	3379.7	3336.7	3259.3	1618.8	1219.2	1	
High	Q8N8A6	ATP-dependent RNA helicase DDX51 OS=Homo sapiens OX=9606 GN=DDX51 PE=1 SV=3	0	103.18	41	18	37	18	666	72.4	8.16	140.11	18	metabolic process	cytoplasm;membrane;nucleus	catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf02063, Pf04851"	317781	ENSG00000185163.9	12		DDX51			0	0	NA	2749	2762.4	2613.6	2520.6	1117.6	1034.4	1	
High	A0A087WZ13	Ribonucleoprotein PTB-binding 1 OS=Homo sapiens OX=9606 GN=RAVER1 PE=1 SV=1	0	103.171	44	20	56	20	739	77.8	8.84	202.95	20			RNA binding	"Pf00076, Pf13893, Pf14259"		ENSG00000161847.13	19					0	0	NA	1675.1	1924.4	2152.4	2393.6	1721.4	1442.9	1	
High	P05198	Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3	0	101.593	59	17	33	17	315	36.1	5.08	107.28	17	cell communication;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;membrane;nucleus;ribosome	protein binding;RNA binding	"Pf00575, Pf07541"	1965	ENSG00000134001.12	14	Translation Factors; Brain-Derived Neurotrophic Factor (BDNF) signaling pathway	EIF2S1	Hepatitis C; RNA transport; Protein processing in endoplasmic reticulum; Herpes simplex infection; Non-alcoholic fatty liver disease (NAFLD); Influenza A; Measles; Apoptosis	"Formation of the ternary complex, and subsequently, the 43S complex; L13a-mediated translational silencing of Ceruloplasmin expression; ABC-family proteins mediated transport; Translation initiation complex formation; PERK regulates gene expression; GTP hydrolysis and joining of the 60S ribosomal subunit; Recycling of eIF2:GDP; Ribosomal scanning and start codon recognition"	25	0	NA	1508	923.3	1118.1	1275.4	1925.4	2122.1	1	
High	G3V5V7	Heterogeneous nuclear ribonucleoproteins C1/C2 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=1	0	100.389	57	17	96	1	180	20.2	4.7	296.15	17						ENSG00000092199.17	14					0	0	NA	NA	NA	NA	NA	NA	NA	1	Met-loss [N-Term]
High	P63244	Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3	0	98.166	71	19	69	19	317	35.1	7.69	228.87	19	cell death;cellular homeostasis;development;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;membrane;mitochondrion;nucleus;ribosome	enzyme regulator activity;protein binding;RNA binding;structural molecule activity	Pf00400	10399	ENSG00000204628.11	5	Androgen receptor signaling pathway; Brain-Derived Neurotrophic Factor (BDNF) signaling pathway; VEGFA-VEGFR2 Signaling Pathway; Interferon type I signaling pathways	GNB2L1; RACK1	Measles	Regulation of TNFR1 signaling; TNFR1-mediated ceramide production; TNFR1-induced NFkappaB signaling pathway	11	0	NA	9054.1	4619.8	4872.9	4637.4	10994	9149.1	1	
High	Q92917	G-patch domain and KOW motifs-containing protein OS=Homo sapiens OX=9606 GN=GPKOW PE=1 SV=2	0	97.223	57	17	43	17	476	52.2	6.15	136.03	17	metabolic process	nucleus	protein binding	"Pf00467, Pf01585, Pf12656"	27238	ENSG00000068394.10	X		GPKOW		mRNA Splicing - Major Pathway	4	0	NA	1028.2	1894.4	2024.1	2137.6	1217.1	1166.4	1	
